Year,Doctorate recipients,Not on tenure track,On tenure track,Permanents
1997,,,,49187
1998,2884,,,49207
1999,3572,,,50501
2000,4078,,,51953
2001,4015,,,54856
2002,4369,,,57533
2003,6353,,,56480
2004,8466,,,57402
2005,9604,10005,,60251
2006,10188,10831,,61974
2007,10592,11689,,61929
2008,10713,12090,,62768
2009,10461,13226,,60882
2010,11478,13109,,57748
2011,11365,14910,7,56449
2012,11576,17994,20,54929
2013,10745,19089,116,53446
2014,10738,19175,300,51839
2015,10485,17453,704,50354
2016,9803,17412,1891,48878
2017,10840,17906,2422,47589
2018,9027,18154,3643,46570
2019,8433,18943,4276,46666
2020,8171,20681,4616,46245
2021,8634,21291,5343,46859
2022,9440,22546,6606,47589
2023,9889,25113,6915,47877
2024,10276,32968,7006,49812
